provider,city,country,station_data,trip_data,start time,end time,start station,end station,coordinates,start zone,end zone,duration,distance,costs,bike id,customer id,customer group,customer age,customer gender,booking medium,member_data,url
Santander Cycles,London,UK,TRUE,TRUE,x,x,x,x,,,,x,,,x,,,,,,,http://cycling.data.tfl.gov.uk/
CoGo Bikeshare,"Columbus, OH",US,TRUE,TRUE,,,,,,,,,,,,,,,,,,https://www.cogobikeshare.com/system-data
Divvy,"Chicago, IL",US,TRUE,TRUE,x,x,x,x,,,,x,,,x,,x,,x,,TRUE,http://www.divvybikes.com/data
Bike Chattanooga,"Chattanooga, TN",US,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,https://data.chattlibrary.org/Transportation/Bike-Chattanooga-Trip-Data/8yba-nwv8
Hubway,"Boston, MA",US,TRUE,TRUE,,,,,,,,,,,,,,,,,,http://hubwaydatachallenge.org/data-api/
Capital Bikeshare,Washington DC,US,TRUE,TRUE,x,x,x,x,,,,x,,,x,x,,,,,TRUE,http://www.capitalbikeshare.com/system-data
Nice Ride,"Minneapolis-St. Paul, MN",US,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,https://www.niceridemn.org/data/
Ford GoBike,"San Francisco Bay Area, CA",US,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,http://www.bayareabikeshare.com/open-data
bixi,Montreal,CA,TRUE,TRUE,x,x,x,x,,,,x,,,,,x,,,,,https://montreal.bixi.com/en/open-data
Citi Bike,"New York City, NY",US,TRUE,TRUE,x,x,x,x,x,,,x,,,x,,x,x,x,,TRUE,http://www.citibikenyc.com/system-data
oslo bike share,Oslo,NO,TRUE,TRUE,x,x,x,x,,,,,,,,,,,,,,https://developer.oslobysykkel.no/data/
,Melbourne,AU,TRUE,,,,,,,,,,,,,,,,,,,http://www.melbournebikeshare.com.au/stationmap/data
CityCycle,Brisbane,AU,TRUE,,,,,,,,,,,,,,,,,,,
villo,Bruxelles-Capitale,BE,TRUE,,,,,,,,,,,,,,,,,,,
Li bia velo,Namur,BE,TRUE,,,,,,,,,,,,,,,,,,,
Tusbic,Santander,ES,TRUE,,,,,,,,,,,,,,,,,,,
SEVICI,Seville,ES,TRUE,,,,,,,,,,,,,,,,,,,
Valenbisi,Valence,ES,TRUE,,,,,,,,,,,,,,,,,,,
Velam,Amiens,FR,TRUE,,,,,,,,,,,,,,,,,,,
VéloCité,Besancon,FR,TRUE,,,,,,,,,,,,,,,,,,,
Velo2,Cergy-Pontoise,FR,TRUE,,,,,,,,,,,,,,,,,,,
Cristolib,Creteil,FR,TRUE,,,,,,,,,,,,,,,,,,,
Vélo'V,Lyon,FR,TRUE,,,,,,,,,,,,,,,,,,,
Le vélo,Marseille,FR,TRUE,,,,,,,,,,,,,,,,,,,
